document_text,user_message,assistant_response,visa_type,document_type,category,language,verified,source,date_updated
,What is the difference between H-1B and O-1 visas?,"The H-1B visa is for specialty occupation workers with at least a bachelor's degree in a specific field. It is subject to an annual cap (85,000 per year) and requires a lottery if oversubscribed. The O-1 visa is for individuals with extraordinary ability or achievement in sciences, arts, education, business, or athletics. There is no cap or lottery for O-1. O-1 is harder to qualify for (you must prove you are among the top in your field) but can be a great alternative if you do not win the H-1B lottery.",H1B,None,Work,English,yes,uscis.gov,2026-06-20
,How do I bring my sibling to the US as a green card holder?,"Only US citizens can petition for siblings — green card holders cannot. If you are a US citizen, file Form I-130 for your sibling under the F4 preference category. Because this category has annual limits and high demand, the wait can be 10–20+ years depending on your sibling's country of birth. Countries like Philippines, India, China, and Mexico have the longest backlogs. Your sibling must wait until the Visa Bulletin shows their priority date is current before they can apply for an immigrant visa.",EB2,None,Green Card,English,yes,uscis.gov,2026-06-20
,What is CBP and what do they do at the border?,"CBP stands for US Customs and Border Protection, a component of the Department of Homeland Security. At ports of entry (airports, land borders, seaports), CBP officers inspect travelers and cargo entering the US. They verify travel documents, determine admissibility, set your authorized period of stay on your I-94, and can deny admission to the US even if you have a valid visa. A visa grants permission to travel to a port of entry — CBP makes the final admissibility decision.",Any,None,General,English,yes,uscis.gov,2026-06-20
,What documents should immigrants always carry?,"Immigrants should keep these documents safe and accessible: your original passport, visa, I-94 printout, green card or EAD if applicable, I-797 approval notices for any petitions, Social Security card, any court orders or immigration attorney contact information. Carry certified copies for daily use and store originals in a fireproof safe. Never carry documents you do not have originals of. If stopped by immigration enforcement, you have the right to remain silent and speak with an attorney.",EB2,None,Green Card,English,yes,uscis.gov,2026-06-20
,What is the public charge rule and how does it affect my green card application?,"The public charge rule allows USCIS to deny a green card to someone deemed likely to become primarily dependent on government benefits. The current rule (as of 2023) considers your age, health, family status, assets, resources, financial status, and education/skills. Receipt of certain cash benefits (SSI, TANF) or long-term institutionalized care can be negative factors. Most immigrants are not affected. Certain categories are exempt, including refugees, asylees, VAWA self-petitioners, and special immigrant juveniles.",EB2,None,Green Card,English,yes,uscis.gov,2026-06-20
,What is an immigration attorney and when do I need one?,"An immigration attorney is a licensed lawyer specializing in US immigration law. You should consider one if you have a criminal record, have been previously deported or removed, overstayed a visa, entered without inspection, have a complicated family or work situation, received an RFE or denial, are in removal proceedings, or your case involves waivers. USCIS forms can be filed without an attorney, but mistakes can be costly. Free or low-cost legal help is available through accredited representatives at nonprofit organizations. Never use unauthorized 'notarios.'",Any,None,General,English,yes,uscis.gov,2026-06-20
,How does the US immigration court system work?,"If USCIS issues a Notice to Appear (NTA), you are placed in removal proceedings before an immigration judge in the Executive Office for Immigration Review (EOIR). You have the right to an attorney (at your own expense), the right to present evidence, and the right to appeal. The judge decides whether you should be removed or can stay (through asylum, cancellation of removal, or other relief). Appeals go to the Board of Immigration Appeals (BIA), then to federal circuit courts. The process can take years.",H1B,None,Work,English,yes,uscis.gov,2026-06-20
,What is advance parole and when do I need it?,"Advance Parole (AP) is a document that allows certain non-citizens (typically those with a pending I-485 adjustment of status, DACA recipients, or TPS holders) to re-enter the US after traveling abroad. Without AP, leaving the US while your I-485 is pending can be considered an abandonment of your application. Apply for AP using Form I-131 — file it simultaneously with your I-485 to minimize delays. AP does not guarantee re-entry; a CBP officer still makes the final admissibility decision.",B1/B2,None,Travel,English,yes,uscis.gov,2026-06-20
,What is the difference between removal and deportation?,"Removal and deportation mean essentially the same thing — a formal order requiring a foreign national to leave the United States. 'Removal' is the current legal term; 'deportation' is the older term. A removal order can result from overstaying a visa, criminal convictions, immigration fraud, working without authorization, or entering without inspection. Expedited removal applies to those caught near the border recently. A standard removal order goes through immigration court. Being removed can result in a 5-year, 10-year, or permanent bar from re-entering the US.",Any,None,General,English,yes,uscis.gov,2026-06-20
,Can I get a green card through my job?,"Yes, employment-based (EB) green cards are available in five preference categories: EB-1 for priority workers (extraordinary ability, outstanding professors/researchers, multinational managers); EB-2 for advanced degree professionals or exceptional ability; EB-3 for skilled workers and professionals; EB-4 for special immigrants; EB-5 for investors. Most require an employer sponsor and PERM labor certification. EB-1A (extraordinary ability) and EB-2 NIW (national interest waiver) allow self-petitioning. Wait times vary greatly by country of birth.",EB2,None,Green Card,English,yes,uscis.gov,2026-06-20
,What is PERM labor certification?,"PERM (Program Electronic Review Management) is the process employers must complete before sponsoring most foreign workers for an employment-based green card (EB-2, EB-3). The employer must conduct good-faith recruitment to show no qualified US workers are available for the position, pay the prevailing wage, and certify these facts to the Department of Labor. PERM approval does not give work authorization — it just clears the way for the employer to file an I-140 petition. PERM applications take 6–18 months; audits can extend that significantly.",H1B,None,Work,English,yes,uscis.gov,2026-06-20
,What is an L-1 visa?,"The L-1 visa allows multinational companies to transfer employees from foreign offices to US offices. L-1A is for managers and executives (valid up to 7 years); L-1B is for employees with specialized knowledge (valid up to 5 years). There is no annual cap or lottery, and L-1 visa holders can often transition to EB-1C green cards. Requirements: you must have worked for the company abroad for at least 1 continuous year within the past 3 years. The US company must be a parent, subsidiary, affiliate, or branch of the foreign company.",H1B,None,Work,English,yes,uscis.gov,2026-06-20
,What is the J-1 exchange visitor visa?,"The J-1 visa is for exchange visitors participating in approved programs — researchers, professors, students, teachers, camp counselors, au pairs, medical graduates, interns, and trainees. Many J-1 holders are subject to a 2-year home country physical presence requirement (INA 212(e)), meaning they must return home for 2 years before getting an H or L visa or a green card. You may be able to get a waiver of this requirement through a no-objection statement from your home country, a US government agency, hardship, or persecution.",B1/B2,None,Travel,English,yes,uscis.gov,2026-06-20
,What is an EB-5 investor visa?,"The EB-5 Immigrant Investor Program allows foreign nationals to get a green card by investing in a US commercial enterprise that creates jobs for US workers. The minimum investment is $1.05 million (or $800,000 in Targeted Employment Areas — rural or high-unemployment areas). You must create or preserve at least 10 full-time jobs for qualifying US workers. Most investors invest through USCIS-designated Regional Centers. Processing can take several years; investors from China and India face long backlogs.",H1B,None,Work,English,yes,uscis.gov,2026-06-20
,How do I find free immigration legal help?,"Free or low-cost immigration legal help is available through: USCIS-accredited representatives at nonprofit organizations, legal aid societies, law school immigration clinics, Catholic Charities, the International Rescue Committee, the American Immigration Lawyers Association (AILA) pro bono programs, and local bar association referral services. Search online for 'BIA accredited representatives near me' or visit the USCIS website's list of free and low-cost legal services. Avoid notarios and unauthorized immigration consultants — they can take your money and ruin your case.",Any,None,General,English,yes,uscis.gov,2026-06-20
,What is a Notice to Appear (NTA)?,"A Notice to Appear (NTA) is a charging document issued by DHS that places someone in removal proceedings before an immigration judge. It lists the factual allegations and the legal grounds for removal. Receiving an NTA does not mean you will be deported — you have the right to a hearing, to present evidence, and to apply for relief. The NTA specifies your hearing date and location. You should immediately contact an immigration attorney if you receive an NTA. Failing to appear for your hearing results in an automatic removal order.",Any,None,General,English,yes,uscis.gov,2026-06-20
,What is an I-140 petition?,"Form I-140 (Immigrant Petition for Alien Workers) is filed by an employer to sponsor a foreign worker for an employment-based immigrant visa. It establishes that the worker qualifies for the requested preference category and that the employer has the ability to pay the offered wage. After I-140 approval, the worker must wait for a visa number to become available (check the Visa Bulletin) before filing Form I-485 or applying for an immigrant visa abroad. Some I-140 approvals can be ported to new employers under AC21 after 180 days.",Any,None,Green Card,English,yes,uscis.gov,2026-06-20
,What rights do immigrants have if arrested by ICE?,"All people in the US, regardless of immigration status, have constitutional rights. You have the right to remain silent — you do not have to answer questions about your immigration status, birthplace, or how you entered the US. You have the right to speak with an attorney. You have the right to refuse consent to a search of your home without a warrant signed by a judge (not an ICE administrative warrant). Do not sign any documents without speaking with an attorney. Write down the officer's badge number and contact a lawyer as soon as possible.",EB2,None,Green Card,English,yes,uscis.gov,2026-06-20
,What is a conditional green card and how do I remove the conditions?,"If you obtain a green card through marriage and the marriage is less than 2 years old when the green card is granted, you receive a conditional green card valid for 2 years. To remove the conditions and get a 10-year green card, you must file Form I-751 (Petition to Remove Conditions on Residence) within the 90-day window before your card expires. Typically you file jointly with your US citizen spouse. If divorced, abused, or widowed, you may file a waiver. USCIS will interview you to verify the marriage is bona fide.",EB2,None,Green Card,English,yes,uscis.gov,2026-06-20
,What is the process for applying for political asylum in the US?,"To apply for asylum you must be physically present in the US or at a port of entry and apply within 1 year of arriving (with limited exceptions). File Form I-589 with USCIS for affirmative asylum (if not in removal proceedings) or submit it to the immigration court if in proceedings. You must prove a well-founded fear of persecution based on race, religion, nationality, political opinion, or membership in a particular social group. USCIS or an immigration judge will interview you. Processing can take months to years. If approved, you can apply for a green card after 1 year.",Asylum,None,General,English,yes,uscis.gov,2026-06-20
,Can I bring my children to the US on my green card application?,"Yes. When you file for a green card, you can include your unmarried children under age 21 as derivatives on your application. File Form I-485 for each derivative child. If your I-130 or I-140 is approved for you as the principal applicant, your derivative children can immigrate with you or follow-to-join within a reasonable time. The Child Status Protection Act (CSPA) can protect children who turn 21 while waiting, keeping them eligible under the original filing date in many cases.",EB2,None,Green Card,English,yes,uscis.gov,2026-06-20
,What is the difference between a US Embassy and a US Consulate?,"A US Embassy is the main diplomatic mission of the United States in a foreign country, typically located in the capital city. A US Consulate is a subordinate office located in other major cities of the country. Both can process nonimmigrant and immigrant visas. The Embassy usually handles the most complex visa cases and also handles diplomatic relations. For visa applications, you can often choose which consulate is most convenient — check the US Embassy website for that country to see which locations offer visa appointments.",Any,None,General,English,yes,uscis.gov,2026-06-20
,What is a biometrics appointment for immigration?,"A biometrics appointment is a required step for many USCIS applications where you provide fingerprints, photograph, and signature at an Application Support Center (ASC). USCIS uses this to conduct background checks through the FBI and other agencies. You will receive an appointment notice (Form I-797C) after filing your application. Bring the appointment notice and a valid government-issued photo ID. The appointment takes about 30 minutes. Failing to attend can result in denial of your application. You can reschedule if needed but do so promptly.",Any,None,General,English,yes,uscis.gov,2026-06-20
,What does 'status violation' mean in immigration?,"A status violation occurs when you fail to comply with the conditions of your visa. Examples include: working on a visa that does not allow employment, studying full-time on a B-2 tourist visa, letting your authorized stay expire without extending or departing, or engaging in activities not permitted by your visa type. Status violations can make you ineligible for future visas, trigger removal proceedings, and bar you from adjusting status inside the US. If you realize you have violated status, consult an immigration attorney about options to regularize your situation.",Any,None,General,English,yes,uscis.gov,2026-06-20
,What is the Green Card Lottery (DV Lottery)?,"The Diversity Visa (DV) Lottery, also called the Green Card Lottery, is a US government program that issues up to 55,000 immigrant visas per year to people from countries with historically low immigration rates to the US. Countries with more than 50,000 immigrants in the past 5 years are not eligible (including Mexico, China, India, Philippines, South Korea, UK, Canada). Requirements include a high school diploma or equivalent and 2 years of qualifying work experience. Apply online in October/November each year. Winners are selected randomly.",EB2,None,Green Card,English,yes,uscis.gov,2026-06-20
,What is I-9 employment eligibility verification?,"Form I-9 is required for all employees hired in the US. Employers must verify that each employee is legally authorized to work. Employees must provide documents from the I-9 Lists of Acceptable Documents — List A (documents proving both identity and work authorization, like a US passport or green card) OR one document from List B (identity) and one from List C (work authorization). Employers must complete I-9 within 3 business days of hire. Employers cannot request specific documents or discriminate based on citizenship status or national origin.",H1B,None,Work,English,yes,uscis.gov,2026-06-20
,Can I get a driver's license as an undocumented immigrant?,"It depends on your state. Several states issue driver's licenses or ID cards to undocumented immigrants regardless of legal status. These include California, Colorado, Connecticut, Delaware, Hawaii, Illinois, Maryland, Massachusetts, Minnesota, Nevada, New Jersey, New Mexico, New York, Oregon, Utah, Vermont, Virginia, and Washington. These are sometimes called 'REAL ID non-compliant' licenses, which means they cannot be used for federal purposes like boarding domestic flights. Check your specific state's DMV requirements.",EB2,None,Green Card,English,yes,uscis.gov,2026-06-20
,What is the difference between deportation and voluntary departure?,"A formal removal order (deportation) is a government-initiated process that creates a record and can bar you from re-entering for 5–20 years or permanently, depending on circumstances. Voluntary departure allows you to leave at your own expense by a specified date, often without a formal removal order on your record. Voluntary departure may allow you to return sooner. However, if you fail to depart by the deadline, you become subject to a 10-year bar and cannot reopen your immigration case. Consult an attorney to weigh these options.",Any,None,General,English,yes,uscis.gov,2026-06-20
,How do I apply for a Social Security Number as an immigrant?,"If you are authorized to work in the US, you can apply for a Social Security Number (SSN) at a Social Security Administration (SSA) office. Bring original documents proving your immigration status and work authorization (such as your visa, I-94, passport, and EAD if applicable), proof of age (birth certificate), and proof of identity. You can request an SSN on the immigrant visa application (Form DS-260) and SSA will mail it to you after arrival. Nonimmigrant workers (H-1B, L-1, etc.) should wait 10 days after arrival before applying.",EB2,None,Green Card,English,yes,uscis.gov,2026-06-20
,What is an immigration hold or detainer?,"An immigration detainer (Form I-247A) is a request from ICE to a local jail or prison to hold a person for up to 48 hours (excluding weekends and holidays) after their criminal case concludes, to allow ICE time to take custody. Detainers are requests — local jurisdictions can choose to honor or ignore them. Several cities and counties are 'sanctuary' jurisdictions that limit cooperation with ICE detainers. If you or a family member is held on an immigration detainer, contact an immigration attorney immediately.",Any,None,General,English,yes,uscis.gov,2026-06-20
,What is naturalization and who is eligible?,"Naturalization is the process by which a non-US citizen becomes a US citizen. To be eligible you must be 18 or older, a lawful permanent resident for 5 years (3 years if married to a US citizen), have continuous residence in the US, have been physically present for at least 30 months of the last 5 years, demonstrate good moral character, pass an English and civics test, and take the Oath of Allegiance. Some exceptions exist for children, military members, and those with physical or mental disabilities. File Form N-400 to begin the process.",Any,None,General,English,yes,uscis.gov,2026-06-20
,What is an affidavit of support and who needs to file it?,"Form I-864 (Affidavit of Support) is a legally binding contract in which a US citizen or green card holder (the sponsor) agrees to financially support an immigrant and ensure they do not become a public charge. It is required for most family-based and some employment-based green card applications. The sponsor must have income at least 125% of the Federal Poverty Guidelines for their household size. The obligation lasts until the immigrant becomes a US citizen, works 40 quarters, leaves the US permanently, or dies.",Any,None,General,English,yes,uscis.gov,2026-06-20
,What is the Child Status Protection Act (CSPA)?,"The Child Status Protection Act (CSPA) protects immigrant children who turn 21 while waiting for their visa application to be processed. Under CSPA, a child's age is calculated as their biological age minus the number of days the visa petition was pending. If the calculated age is under 21, the child retains 'child' classification and does not 'age out.' CSPA also allows children who age out of derivative status to self-petition or port to certain categories. CSPA calculations are complex — consult an immigration attorney if your child is approaching 21.",Any,None,Green Card,English,yes,uscis.gov,2026-06-20
,What is the difference between an immigrant and a refugee?,"An immigrant voluntarily chooses to leave their home country and move to another country, typically for economic, educational, or family reasons. A refugee is forced to flee their home country due to war, violence, or persecution based on race, religion, nationality, political opinion, or membership in a particular social group. Refugees are recognized under the 1951 Refugee Convention. In the US, refugees are admitted through the US Refugee Admissions Program (USRAP), with annual caps set by the President. Both can eventually apply for permanent residency and citizenship.",EB2,None,Green Card,English,yes,uscis.gov,2026-06-20
,How do I report immigration fraud or a notario?,"Immigration fraud — where unauthorized practitioners (notarios, consultants) charge fees for legal immigration services they are not authorized to provide — is a serious problem. To report: file a complaint with your state attorney general's consumer protection office, the Federal Trade Commission at ftc.gov/complaint, your state bar association (if someone claimed to be an attorney but is not), and the USCIS tip line at 1-800-375-5283. If you paid a notario and got incorrect documents filed, an accredited representative or attorney may be able to help you reopen your case.",Any,None,General,English,yes,uscis.gov,2026-06-20
,What is the process for an H-1B visa lottery?,"The H-1B cap lottery runs each April for an October 1 start date. Your employer must register you in the USCIS electronic registration system in March (registration fee: $215 per beneficiary). If selected in the lottery, your employer then has 90 days to file the full H-1B petition. There are 65,000 visas for the regular cap and 20,000 additional visas for workers with a US master's degree or higher. Cap-exempt employers (universities, nonprofits affiliated with universities, certain government research organizations) can file any time.",H1B,None,Work,English,yes,uscis.gov,2026-06-20
,What documents prove a bona fide marriage for immigration purposes?,"To prove your marriage is genuine (not for immigration purposes), gather: joint bank account statements, joint lease or mortgage documents, joint tax returns (Form 1040), insurance policies listing each other as beneficiaries, car registration showing the same address, utility bills in both names, photos of the couple together over time, correspondence between you and your spouse, affidavits from friends and family who know you as a couple, and children's birth certificates if applicable. The more documentation, the stronger your case. USCIS officers look for evidence of a real shared life.",Any,None,Green Card,English,yes,uscis.gov,2026-06-20
,Can I work for any employer on an H-1B visa?,"No. H-1B status is employer-specific — you are authorized to work only for the petitioning employer in the specific position and location listed on the petition. If you change jobs or your employer significantly modifies your role, title, or work location, a new or amended H-1B petition must be filed. You can work for multiple employers simultaneously only if each files a separate H-1B petition for you. If you lose your H-1B job, you have a 60-day grace period to find a new employer, change status, or depart the US.",H1B,None,Work,English,yes,uscis.gov,2026-06-20
,What is a US visa stamp and how is it different from status?,"A visa stamp is a sticker placed in your passport by a US consulate that allows you to travel to a US port of entry and request admission. It has an expiration date showing when you must travel by. Your immigration status is determined by the I-94 issued at the port of entry — it shows your visa type and authorized period of stay. You can remain in the US with valid status even if your visa stamp expires, as long as your I-94 is valid. You only need a valid visa stamp when traveling internationally and re-entering the US.",Any,None,General,English,yes,uscis.gov,2026-06-20
,What are sanctuary cities?,"Sanctuary cities are jurisdictions (cities, counties, or states) that limit cooperation between local law enforcement and federal immigration enforcement (ICE). Policies vary by location but typically include not asking about immigration status during routine policing, not holding people in jail solely based on ICE detainers, and not sharing information about individuals with ICE without a court order. Sanctuary policies are intended to encourage immigrant community members to report crimes and cooperate with police without fear of deportation. These are local policies — federal immigration law still applies everywhere.",Any,None,General,English,yes,uscis.gov,2026-06-20
,What is the Violence Against Women Act (VAWA) and how does it help immigrants?,"VAWA allows certain immigrants who have been abused by a US citizen or lawful permanent resident spouse, parent, or adult child to self-petition for a green card without the abuser's knowledge or cooperation. The abused immigrant files Form I-360 confidentially. VAWA protects women, men, and children. Approval allows the petitioner to apply for a green card. There are also VAWA protections in immigration court proceedings. Hotline for domestic violence: 1-800-799-7233 (National Domestic Violence Hotline). These cases are handled with strict confidentiality.",EB2,None,Green Card,English,yes,uscis.gov,2026-06-20
,What is an O-1 visa and who qualifies?,"The O-1 visa is for individuals with extraordinary ability in science, arts, education, business, or athletics (O-1A) or extraordinary achievement in motion picture or television (O-1B). You must demonstrate sustained national or international acclaim through awards, media coverage, high salary compared to peers, critical roles in distinguished organizations, original contributions, or judging others' work. There is no cap or lottery. O-1 visas are initially valid up to 3 years with 1-year extensions. A US employer or agent must petition on your behalf using Form I-129.",H1B,None,Work,English,yes,uscis.gov,2026-06-20
